Image Index,Detector Type,Descriptor Type,TTC Camera,TTC Lidar,TTC diff,Mean diff
11,,,12.2176,12.8086,0.590999999999999,
12,,,11.1699,8.95978,2.21012,
13,,,10.8611,9.96439,0.896710000000001,
14,,,10.4743,9.59863,0.87567,
15,,,9.94153,8.52157,1.41996,
16,,,10.1281,9.51552,0.612579999999999,
17,,,9.02048,9.61241,0.591930000000001,
18,,,8.9967,8.3988,0.597900000000001,1.192
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SIFT,BRISK,11.6767,12.5156,0.838899999999999,
2,,,13.3442,12.6142,0.73,
3,,,14.4892,14.091,0.398200000000001,
4,,,18.9459,16.6894,2.2565,
5,,,14.9066,15.7465,0.839899999999998,
6,,,11.5723,12.7835,1.2112,
7,,,14.3801,11.9844,2.3957,
8,,,15.5623,13.1241,2.4382,
9,,,13.0599,13.0241,0.0358,
10,,,10.8591,11.1746,0.3155,
11,,,13.2358,12.8086,0.427199999999999,
12,,,10.2973,8.95978,1.33752,
13,,,9.98878,9.96439,0.02439,
14,,,9.55221,9.59863,0.04642,
15,,,9.46445,8.52157,0.942879999999999,
16,,,8.76936,9.51552,0.74616,
17,,,9.51704,9.61241,0.095370000000001,
18,,,8.92365,8.3988,0.524850000000001,0.867
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SIFT,BRIEF,12.0906,12.5156,0.424999999999999,
2,,,14.239,12.6142,1.6248,
3,,,15.0807,14.091,0.989700000000001,
4,,,21.4348,16.6894,4.7454,
5,,,13.5996,15.7465,2.1469,
6,,,12.5584,12.7835,0.225099999999999,
7,,,14.5793,11.9844,2.5949,
8,,,15.2582,13.1241,2.1341,
9,,,13.0447,13.0241,0.0206,
10,,,10.31,11.1746,0.864599999999999,
11,,,13.0457,12.8086,0.2371,
12,,,9.87031,8.95978,0.91053,
13,,,10.1277,9.96439,0.163310000000001,
14,,,9.26767,9.59863,0.330959999999999,
15,,,9.99626,8.52157,1.47469,
16,,,9.06931,9.51552,0.446210000000001,
17,,,8.86379,9.61241,0.748620000000001,
18,,,9.23255,8.3988,0.83375,1.162
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SIFT,FREAK,11.3146,12.5156,1.201,
2,,,13.8342,12.6142,1.22,
3,,,13.6142,14.091,0.476799999999999,
4,,,21.1914,16.6894,4.502,
5,,,14.9871,15.7465,0.759399999999999,
6,,,12.243,12.7835,0.5405,
7,,,14.617,11.9844,2.6326,
8,,,15.2357,13.1241,2.1116,
9,,,14.3898,13.0241,1.3657,
10,,,11.8624,11.1746,0.687800000000001,
11,,,12.0831,12.8086,0.7255,
12,,,10.093,8.95978,1.13322,
13,,,10.2522,9.96439,0.28781,
14,,,9.92553,9.59863,0.3269,
15,,,9.19678,8.52157,0.67521,
16,,,8.72479,9.51552,0.79073,
17,,,9.19626,9.61241,0.41615,
18,,,9.93234,8.3988,1.53354,1.188
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,SIFT,SIFT,11.9775,12.5156,0.5381,
2,,,12.5659,12.6142,0.048300000000001,
3,,,13.175,14.091,0.915999999999999,
